Ban,Champion,Game Name,Game Time,Patch,Role,Side,Summoner Name,Team Name,Win/Lose,A,CS(JG camps),CS(Minion),Cs/M,Cs@10,D,D%,DMG,Dmg%,Dmg/Gold,Dmg/M,DT,DT%,Dt/D,Fbpar,G,G/M,GS,K,KDA,Kpar,KS,Sweep/M,Total CS,Vision Score/M,Ward/M
Aurora1,KSante,Game 1,30/12/1899 0:27:59,14.15.604.8769,TOP,Blue,ftr,UQ,Win,10,0,185,6.611078023,69,4,0.190476190,21617,0.192575465,1.559555588,772.495533055,25829,0.210102944,6457.25,0,13861,495.131679983,0.215219552,9,4.75,0.475,0.225,0.071471114,185,0.653439239,0.285884455
Swain3,Brand,Game 1,30/12/1899 0:27:59,14.15.604.8769,JUNGLE,Blue,Luquhorijy,UQ,Win,22,150,22,6.146515783,68.000000060,7,0.333333333,36075,0.321377393,2.560871726,1289.160214413,30018,0.244177674,4288.285714286,0,14087,503.230917730,0.218728650,11,4.714285714,0.825,0.275,0.142942228,172,1.181297267,0.214413341
Jinx5,Ahri,Game 1,30/12/1899 0:27:59,14.15.604.8769,MIDDLE,Blue,shyshyshyy,UQ,Win,8,0,210,7.504466945,84,3,0.142857143,20739,0.184756051,1.644125575,741.119714116,21051,0.171240764,7017,0,12614,450.596093226,0.195857400,9,5.666666667,0.425,0.225,0.142942228,210,0.635351220,0.285884455
No Ban,Zeri,Game 1,30/12/1899 0:27:59,14.15.604.8769,BOTTOM,Blue,Bot Incident,UQ,Win,15,12,248,9.291244789,77,4,0.190476190,23602,0.210260243,1.526846940,843.430613460,19529,0.158858888,4882.25,0,15458,552.200364482,0.240016148,10,6.25,0.625,0.25,0.071471114,260,0.478835549,0.214413341
No Ban,Leona,Game 1,30/12/1899 0:27:59,14.15.604.8769,UTILITY,Blue,Caine,UQ,Win,24,0,28,1.000595593,15,3,0.142857143,10218,0.091030848,1.21875,365.145920191,26507,0.215619730,8835.666666667,0,8384,299.491658520,0.130178250,1,8.333333333,0.625,0.025,0.357355569,28,3.120129373,1.429422275
Evelynn2,Renekton,Game 1,30/12/1899 0:27:59,14.15.604.8769,TOP,Red,Ai Nanasaki,RMIT Black,Lose,10,2,208,7.504466945,73.25,8,0.2,15233,0.170814730,1.283535558,544.359737939,37111,0.263632615,4638.875,1,11868,423.943294114,0.222513874,4,1.75,0.666666667,0.190476190,0.035735557,210,0.691411570,0.357355569
Kindred4,Shyvana,Game 1,30/12/1899 0:27:59,14.15.604.8769,JUNGLE,Red,jen loves yin,RMIT Black,Lose,9,161,22,6.539606909,56.450000077,7,0.175,28426,0.318743203,2.482836929,1015.818939845,35207,0.250104687,5029.571428571,0,11449,408.981122717,0.214658017,4,1.857142857,0.619047619,0.190476190,0.142942228,183,1.220200482,0.357355569
Lillia6,Tristana,Game 1,30/12/1899 0:27:59,14.15.604.8769,MIDDLE,Red,Bradlez,RMIT Black,Lose,4,4,214,7.790351400,76.5,9,0.225,22381,0.250966144,1.708342875,799.797498511,24551,0.174410999,2727.888888889,1,13101,468.004849767,0.245631468,10,1.555555556,0.666666667,0.476190476,0.142942228,218,0.814591411,0.321620012
No Ban,Ashe,Game 1,30/12/1899 0:27:59,14.15.604.8769,BOTTOM,Red,Fishbones,RMIT Black,Lose,8,4,215,7.826086957,66,6,0.15,15143,0.169800961,1.504221715,541.143537820,17581,0.124891690,2930.166666667,0,10067,359.612609379,0.188746813,2,1.666666667,0.476190476,0.095238095,0.178677784,219,0.703370323,0.142942228
No Ban,Braum,Game 1,30/12/1899 0:27:59,14.15.604.8769,UTILITY,Red,Arek,RMIT Black,Lose,11,0,30,1.072066706,21,10,0.25,7997,0.089674962,1.167274850,285.777248362,26318,0.186960009,2631.8,0,6851,244.732118400,0.128449828,1,1.2,0.571428571,0.047619048,0.250148898,30,1.850164799,0.750446694
Lux1,DrMundo,Game 2,30/12/1899 0:24:03,14.15.607.22,TOP,Blue,Littleluck,SWIN,Lose,1,0,223,9.272349272,75,5,0.185185185,15137,0.294977222,1.613236705,629.397089397,44607,0.308849009,8921.4,1,9383,389.980413724,0.246791163,1,0.4,0.285714286,0.142857143,0.041580042,223,0.579846154,0.249480249
Camille3,Kindred,Game 2,30/12/1899 0:24:03,14.15.607.22,JUNGLE,Blue,PI PI MA,SWIN,Lose,2,102,23,5.197505198,51.000000030,6,0.222222222,6858,0.133645315,0.893899896,285.155925156,28736,0.198959297,4789.333333333,1,7672,318.877169643,0.201788532,3,0.833333333,0.714285714,0.428571429,0.166320166,125,0.746419507,0.166320166
Aurora5,Galio,Game 2,30/12/1899 0:24:03,14.15.607.22,MIDDLE,Blue,xyc mylovelywife,SWIN,Lose,2,0,130,5.405405405,65,6,0.222222222,8942,0.174245067,1.216598639,371.808731809,24387,0.168847966,4064.5,0,7350,305.474450343,0.193319306,2,0.666666667,0.571428571,0.285714286,0,130,0.650533395,0.374220374
No Ban,Zeri,Game 2,30/12/1899 0:24:03,14.15.607.22,BOTTOM,Blue,Arcus,SWIN,Lose,4,0,199,8.274428274,65,2,0.074074074,15582,0.303636841,1.826086957,647.900207900,14672,0.101585487,7336,0,8533,354.656309986,0.224434508,1,2.5,0.714285714,0.142857143,0.166320166,199,0.794188750,0.332640333
No Ban,Alistar,Game 2,30/12/1899 0:24:03,14.15.607.22,UTILITY,Blue,dionaea,SWIN,Lose,5,0,17,0.706860707,10,8,0.296296296,4798,0.093495555,0.944116490,199.501039501,32028,0.221758241,4003.5,0,5082,211.240618457,0.133666491,0,0.625,0.714285714,0,0.124740125,17,1.797278325,0.956340956
Elise2,Renekton,Game 2,30/12/1899 0:24:03,14.15.607.22,TOP,Red,ftr,UQ,Win,5,9,191,8.316008316,77,2,0.285714286,19688,0.162055865,1.643680080,818.627858628,24696,0.301872287,12348,0,11978,497.823480587,0.217710567,5,5,0.370370370,0.185185185,0.041580042,200,0.781003926,0.415800416
Yuumi4,Taliyah,Game 2,30/12/1899 0:24:03,14.15.607.22,JUNGLE,Red,Luquhorijy,UQ,Win,15,147,32,7.442827443,68.750000119,1,0.142857143,30493,0.250984219,2.805501886,1267.900207900,16077,0.196526610,16077,0,10869,451.729067855,0.197553528,4,19,0.703703704,0.148148148,0.249480249,179,1.399151575,0.291060291
Yone6,Ezreal,Game 2,30/12/1899 0:24:03,14.15.607.22,MIDDLE,Red,shyshyshyy,UQ,Win,8,12,198,8.731808732,87,0,0,41781,0.343892259,2.951260860,1737.255717256,13640,0.166732403,13640,0,14157,588.381162968,0.257315788,12,20,0.740740741,0.444444444,0,210,0.227743362,0.166320166
No Ban,Varus,Game 2,30/12/1899 0:24:03,14.15.607.22,BOTTOM,Red,Bot Incident,UQ,Win,8,0,187,7.775467775,64,1,0.142857143,22215,0.182851515,1.975369020,923.700623701,9918,0.121238661,9918,0,11246,467.411393926,0.204405831,6,14,0.518518519,0.222222222,0.041580042,187,0.566884389,0.249480249
No Ban,Leona,Game 2,30/12/1899 0:24:03,14.15.607.22,UTILITY,Red,Caine,UQ,Win,11,4,23,1.122661123,13,3,0.428571429,7315,0.060216142,1.080821513,304.158004158,17477,0.213630038,5825.666666667,0,6768,281.309681054,0.123014286,0,3.666666667,0.407407407,0,0.332640333,27,2.900790511,1.039501040
Bel'Veth1,Aatrox,Game 3,30/12/1899 0:39:05,14.16.609.8277,TOP,Blue,ftr,UQ,Win,8,5,245,6.396588486,61,9,0.428571429,26552,0.207727151,1.874347028,679.368869936,49646,0.301470669,5516.222222222,0,14166,362.343486724,0.195890259,4,1.333333333,0.521739130,0.173913043,0.102345416,250,0.673823275,0.358208955
Rek'Sai3,Viego,Game 3,30/12/1899 0:39:05,14.16.609.8277,JUNGLE,Blue,Luquhorijy,UQ,Win,9,250,19,6.882729211,79.600000083,4,0.190476190,17934,0.140307775,1.102680767,458.865671642,51036,0.309913938,12759,1,16264,415.987767565,0.224901820,8,4.25,0.739130435,0.347826087,0.204690832,269,1.391217940,0.230277186
Janna5,Lux,Game 3,30/12/1899 0:39:05,14.16.609.8277,MIDDLE,Blue,shyshyshyy,UQ,Win,13,4,333,8.622601279,89,2,0.095238095,44034,0.344492512,2.681076473,1126.669509595,17731,0.107674599,8865.5,1,16424,420.092051575,0.227114332,5,9,0.782608696,0.217391304,0.230277186,337,1.061353901,0.307036247
No Ban,Jhin,Game 3,30/12/1899 0:39:05,14.16.609.8277,BOTTOM,Blue,Bot Incident,UQ,Win,9,16,318,8.545842217,60,1,0.047619048,30909,0.241815799,1.910557547,790.848614072,19573,0.118856789,19573,0,16178,413.790232198,0.223712595,6,15,0.652173913,0.260869565,0.127931770,334,0.526177899,0.204690832
No Ban,Rell,Game 3,30/12/1899 0:39:05,14.16.609.8277,UTILITY,Blue,Caine,UQ,Win,20,0,38,0.972281450,23,5,0.238095238,8392,0.065656763,0.903920724,214.720682303,26692,0.162084005,5338.4,0,9284,237.461603913,0.128380995,0,4,0.869565217,0,0.358208955,38,3.394929380,1.611940299
Kindred2,Jayce,Game 3,30/12/1899 0:39:05,14.16.609.8277,TOP,Red,starducksc,UNSWR,Lose,6,12,266,7.113006397,75,5,0.217391304,46939,0.362192003,2.752374809,1200.997867804,27294,0.162519832,5458.8,0,17054,436.190875811,0.248741996,11,3.4,0.809523810,0.523809524,0.281449893,278,1.533662312,0.332622601
Lillia4,Sejuani,Game 3,30/12/1899 0:39:05,14.16.609.8277,JUNGLE,Red,zhenlabixiaoxin,UNSWR,Lose,14,151,14,4.221748401,70.000000089,7,0.304347826,11066,0.085388757,0.967646030,283.138592751,58335,0.347346991,8333.571428571,0,11436,292.516557541,0.166800368,0,2,0.666666667,0,0.153518124,165,0.824789472,0.153518124
Leona6,Anivia,Game 3,30/12/1899 0:39:05,14.16.609.8277,MIDDLE,Red,SlickMan99,UNSWR,Lose,5,0,292,7.471215352,76,4,0.173913043,28860,0.222690261,2.011850819,738.422174840,39688,0.236320082,9922,0,14345,366.925238438,0.209229737,3,2,0.380952381,0.142857143,0.127931770,292,1.265643841,0.409381663
No Ban,Ashe,Game 3,30/12/1899 0:39:05,14.16.609.8277,BOTTOM,Red,geranium,UNSWR,Lose,11,15,322,8.622601279,79,4,0.173913043,33413,0.257826375,2.068532161,854.916844350,26456,0.157531913,6614,0,16153,413.158953753,0.235600414,5,4,0.761904762,0.238095238,0.383795309,337,1.468568708,0.358208955
No Ban,Seraphine,Game 3,30/12/1899 0:39:05,14.16.609.8277,UTILITY,Red,Jelloshi,UNSWR,Lose,13,0,44,1.125799574,13,3,0.130434783,9318,0.071902604,0.973362582,238.413646055,16170,0.096281181,5390,0,9573,244.852412327,0.139627485,2,5,0.714285714,0.095238095,0.434968017,44,3.067638012,1.228144989
Ashe1,Aatrox,Game 4,30/12/1899 0:28:18,14.16.612.449,TOP,Blue,ftr,UQ,Win,5,20,227,8.727915194,84,2,0.181818182,19458,0.225433112,1.574654042,687.561837456,24301,0.230734660,12150.5,1,12357,436.578380944,0.213099488,6,5.5,0.55,0.3,0,247,0.676650525,0.282685512
Ivern3,Brand,Game 4,30/12/1899 0:28:18,14.16.612.449,JUNGLE,Blue,Luquhorijy,UQ,Win,11,188,25,7.526501767,74.800000072,2,0.181818182,20578,0.238404254,1.732592405,727.137809187,30423,0.288858704,15211.5,1,11877,419.649737267,0.204821770,4,7.5,0.75,0.2,0.176678445,213,1.229464288,0.212014134
Zyra5,Zoe,Game 4,30/12/1899 0:28:18,14.16.612.449,MIDDLE,Blue,shyshyshyy,UQ,Win,10,8,226,8.268551237,88,2,0.181818182,21565,0.249843229,1.652997087,762.014134276,11631,0.110431703,5815.5,0,13046,460.941007186,0.224981461,4,7,0.7,0.2,0.070671378,234,0.500668301,0.282685512
No Ban,Zeri,Game 4,30/12/1899 0:28:18,14.16.612.449,BOTTOM,Blue,Bot Incident,UQ,Win,7,8,269,9.787985866,86,2,0.181818182,17346,0.200964820,1.311805188,612.932862191,17950,0.170429150,8975,0,13223,467.185112293,0.228033870,5,6,0.6,0.25,0.282685512,277,0.805461533,0.247349823
No Ban,Braum,Game 4,30/12/1899 0:28:18,14.16.612.449,UTILITY,Blue,Caine,UQ,Win,12,0,32,1.130742049,13,3,0.272727273,7367,0.085354585,0.984366649,260.318021201,21016,0.199545784,7005.333333333,0,7484,264.428727141,0.129063411,1,4.333333333,0.65,0.05,0.212014134,32,2.356613373,1.130742049
Kindred2,KSante,Game 4,30/12/1899 0:28:18,14.16.612.449,TOP,Red,Ayuki X Meow,USYD,Lose,1,4,205,7.385159011,68,4,0.2,15443,0.238351092,1.377363539,545.689045936,26258,0.226686304,6564.5,0,11212,396.130241348,0.233904953,5,1.5,0.545454545,0.454545455,0.035335689,209,0.626339305,0.318021201
Lux4,Lillia,Game 4,30/12/1899 0:28:18,14.16.612.449,JUNGLE,Red,Tezzaboy,USYD,Lose,7,155,25,6.360424028,62.200000107,5,0.25,13313,0.205472813,1.395785280,470.424028269,35301,0.304752991,7060.2,0,9538,337.010130785,0.198981933,1,1.6,0.727272727,0.090909091,0.176678445,180,0.829781947,0.212014134
Senna6,Corki,Game 4,30/12/1899 0:28:18,14.16.612.449,MIDDLE,Red,Mesaana,USYD,Lose,4,0,217,7.667844523,88,4,0.2,16146,0.249188986,1.690503612,570.530035336,18935,0.163469011,4733.75,0,9551,337.452449022,0.199253140,1,1.25,0.454545455,0.090909091,0.070671378,217,0.448301269,0.212014134
No Ban,Kaisa,Game 4,30/12/1899 0:28:18,14.16.612.449,BOTTOM,Red,chika takami,USYD,Lose,2,0,252,8.904593640,66,3,0.15,16314,0.251793765,1.470127061,576.466431095,17168,0.148212680,5722.666666667,0,11097,392.066709944,0.231505821,3,1.666666667,0.454545455,0.272727273,0.141342756,252,0.535152477,0.247349823
No Ban,Rell,Game 4,30/12/1899 0:28:18,14.16.612.449,UTILITY,Red,Shao,USYD,Lose,6,0,32,1.130742049,18,4,0.2,3576,0.055193344,0.547123623,126.360424028,18172,0.156879013,4543,0,6536,230.942148702,0.136354154,1,1.75,0.636363636,0.090909091,0.247349823,32,2.002296778,0.918727915
Lillia1,Ornn,Game 5,30/12/1899 0:25:55,14.17.614.2229,TOP,Blue,King Crimson,UWA,Lose,2,0,161,6.212218650,76,4,0.235294118,13074,0.298342284,1.708796236,504.463022508,23023,0.262679058,5755.75,0,7651,295.051069791,0.189822855,2,1,0.8,0.4,0.115755627,161,0.784778472,0.347266881
Lux3,Kindred,Game 5,30/12/1899 0:25:55,14.17.614.2229,JUNGLE,Blue,UWA JG,UWA,Lose,2,167,26,7.446945338,64.000000089,5,0.294117647,6131,0.139911572,0.747956569,236.565916399,29789,0.339883762,5957.8,0,8197,316.105660287,0.203369225,0,0.4,0.4,0,0.463022508,193,1.196115020,0.192926045
Zoe5,Aurora,Game 5,30/12/1899 0:25:55,14.17.614.2229,MIDDLE,Blue,exonerate,UWA,Lose,2,0,207,7.987138264,97,3,0.176470588,13740,0.313536390,1.524126456,530.160771704,17424,0.198799202,5808,0,9015,347.640793701,0.223663971,2,1.333333333,0.8,0.4,0.077170418,207,0.756489638,0.385852090
No Ban,Varus,Game 5,30/12/1899 0:25:55,14.17.614.2229,BOTTOM,Blue,AdolfCromwell,UWA,Lose,3,0,259,9.993569132,72,2,0.117647059,8334,0.190190502,0.831736527,321.569131833,9788,0.111684880,4894,0,10020,386.414083960,0.248598224,1,2,0.8,0.2,0.270096463,259,0.968875992,0.385852090
